,text,cluster(automatic ML),Right or Flase clusterd,Arguemts (Gold Standards),,,,,,Cout of R,Count of F
85,on the one hand children are not able to think critically about the advertisement,7,R,,,,,,,,
93,to conclude i think these advertisements should not be allowed because for the children there is no benefit,7,R,,,,,,,,
98,furthermore young children believe what they hear or what they see so the advertisment could have negative effets on the children,7,R,,,,,,,,
103,in conlusion i would say that  a special advertisment for children should only be allowed if the advertisment is controlled by the parents or a kind of institute in the aspect of influece a learning,7,F,,,,,,,,
25,all in all adverts for children aged  shouldnt be allowed because of their negative effects on the children,8,R,8 -> the same as 7 ,,,,,,,
47,for me its hard to judge about this because i never thought so intensiv about this topic,9,R,9 -> neutral opinon not bad and not good,,,,,,,
76,in my opinion i agree with this statement because off some understandabel reasons and examples,9,F,,,,,,,,
110,televison advertising is not good for the childish brain because they do not know what is important and what is not but i do not think that it is bad if they watch it,10,R,10 -> neutral opinon not bad and not good,,,,,,,
22,thats not good,11,R,11 -> the only beneficary from the ads are the compaies,,,,,,,
27,they only help companies to improve their profits and this is not good,11,R,,,,,,,,
28,we shou,11,F,,,,,,,,
59,there are a few ones that do not have a probleme with the change but the most do,11,F,,,,,,,,
62,some say that it is all going to be compromized and going to be technical,11,F,,,,,,,,
83,yours jason,11,F,,,,,,,,
94,their health and happyness would suffer and the profit of the industry is not worth it,11,R,,,,,,,,
6,furthermore the parents have to have an eye on their children if they watch tv,12,R,12 -> role of the parents to protect the children,,,,,,,
37,he only tells the posi and the children see that and in result they get it from their parents,12,R,,,,,,,,
44,thats the way many people think about the influnce of media like televison on young childreni dont think it should be not allowed but i am not the opinion that its positive for them,12,R,,,,,,,,
45,every parent should decide if he lets his child watching things  which can be dangerous for the development of his own child,12,R,,,,,,,,
46,not everybody sees that as negativ because a lot of people doesnt believe that children for example aged  understand the things they seemany parents cant even imagine that many aspects while the growing process can have an influence on the futured personality of the kidsfor me its the biggest problem in todays community and forbiding of television andvertising directed to to the young children wouldnt be a solution for the probmlem,12,F,,,,,,,,
71,for that parents can just install a code for those channels so the children will not have a chance to watch these,12,R,,,,,,,,
92,but for the industry it is easier to persuade children than adults who reflect their actingthey would not profit of this ban although watching tv for young children is dangerous and unhealthy in general,12,F,,,,,,,,
105,moreover it is bad for the childrens eyes,12,F,,,,,,,,
58,the only generation is the elders generation whom are not used to technology at all,13,R,13 -> The elder generation is very bad in tech,,,,,,,
60,so the snetence above is mostly to hear form the older generation,13,R,,,,,,,,
112,younger people than,13,R,,,,,,,,
12,so the little child can watch tv and after the adverts it says that it likes to have this and that,14,R,14 -> companies can influence the kids to sell their products,,,,,,,
13,therefor the child doesnt have to speak well its enough to say i want that and it points on the advert,14,R,,,,,,,,
15,next this kind of advertising helps the companies to improve their sales and adress the specific group of people which the products are made for,14,R,,,,,,,,
16,so they would do babytoyadvertisments only for young children aged ,14,F,,,,,,,,
19,as an adolscent you know how to deal with adverts and that their content isnt always the truth,14,F,,,,,,,,
23,children may believe whats said in the advert,14,F,,,,,,,,
36,the seller push their object in the advertising because he know what he have to say,14,R,,,,,,,,
86,they cannot know wheather they really need a product or it is just unimportant,14,R,,,,,,,,
89,but children believe the promises of the advertising industry and if the parents buy the toy for them they will be really unhappy,14,R,,,,,,,,
97,the biggest argument against the advertisment is that children are very easy to influece because they do not have enough experience to know what is wrong and what is write,14,R,,,,,,,,
99,on the other hand children are learning very much in this part of life so the advertisment gives them the chance to make up their own mind about some products,14,R,,,,,,,,
100,but this aspect is just valuable if the advertisment is supposed for children and does not have strongly influecing parts,14,F,,,,,,,,
101,maby the companies could make an advertisment which gives the child useful information,14,R,,,,,,,,
