,ios,file name,argument
58,58,1242_aID1AD.txt,"another argument is that the time wasted by advertising spots could be filled by educative content like movies, series etc."
59,59,1242_aID1AD.txt,so instead of interrupting the childrens programm with manipulative advertisements they could be prepared for life in the long run.
60,60,1242_aID1AD.txt,"in order to conclude i would say that advertisements in the television programm of children is just a manipulative and somehow criminal way by the companies to gain as much profit as they can out of children, the weakest part of our population."
61,61,1242_aID1AD.txt,therefore the government should strictly prohibit something like that.
62,62,1243_aID1AD.txt,"televison advertisings towards young children is a discussed theme, because it can influence them, positive or negative."
63,63,1243_aID1AD.txt,is it necessary to disallow these advertisings to children?
64,64,1243_aID1AD.txt,"the children spent a lot of time in watching television, more than before ten years."
65,65,1243_aID1AD.txt,"the companys know about this fact, and try to reach the children in advertisings where they talk directly to the children."
66,66,1243_aID1AD.txt,"it can be annoying for the parents, when their child wants everything, what seems to be attractive in the advertising, and also the children want to spend more time in front of the tv."
67,67,1243_aID1AD.txt,"i think, it is not necessary to disallow advertising towards young children, because on the one hand, they often don't understand, what is said there, and only see the product, also if they make an advert for a car, and on the other hand, the parents should rule the tv consume of their child, so it doesn't sees adverts like that all day."
68,68,1244_aID1AD.txt,in the past few weeks many people especially parents care about one big problem.
69,69,1244_aID1AD.txt,they criticize the use of television advertising directed toward young children.
70,70,1244_aID1AD.txt,but does this topic really brings this much problems or is it not even bad?
71,71,1244_aID1AD.txt,on the one hand adverts towards young children is a great oppotunity for the concerns.
72,72,1244_aID1AD.txt,the kids have a strong will and the parents want to do them a favor and buy the products.
73,73,1244_aID1AD.txt,but on the other hand children can hardly understand what it means to buy something.
74,74,1244_aID1AD.txt,they do not understand what money means.
75,75,1244_aID1AD.txt,if the parents donâ´t have the money or even just do not want to spend it it comes to argues between the parents and their children.
76,76,1244_aID1AD.txt,another argument for the use of advertising toward young children is that they can decide what they want and that they learn fast that there are many toys but they can not have all of them.
77,77,1244_aID1AD.txt,they learn to understand what it means to get something they want to have.
78,78,1244_aID1AD.txt,the concerns set themselves on an higher level than the parents.
79,79,1244_aID1AD.txt,if a mother does not want their children to know this toy she has to forbid them to watch tv.
80,80,1244_aID1AD.txt,furthermore the shops just use the kids.
81,81,1244_aID1AD.txt,surely they know all this points but they just ignore them because they want to sell as many things as possible.
82,82,1244_aID1AD.txt,to sum up this topic really is a problem.
83,83,1244_aID1AD.txt,on the one hand you cand understand the shops that want to make money but on the other hand you have the parents that just want to protect their small children.
84,84,1244_aID1AD.txt,and i can totally agree with the parents and the statement on the top.
85,85,1244_aID1AD.txt,it can not be respected that the children can see anything even if their parents donâ´t want to.
86,86,1245_aID1AD.txt,in the newspaper there was a discussion about television advertising directed toward young children should not be allowed.
87,87,1245_aID1AD.txt,in my essay i will discuss this question.
88,88,1245_aID1AD.txt,"young children aged from two to five should not be allowed to direct television advertising, because they don't know anything about television advertising."
89,89,1245_aID1AD.txt,they are too young and perhaps in advertising there will be shown how little children have to behave.
90,90,1245_aID1AD.txt,on the one hand they could learn something but on the other hand their parents show their children to behave differently.
91,91,1245_aID1AD.txt,this is the reason why children get confused.
92,92,1245_aID1AD.txt,"in some ways if the children look every time this advertising, they will behave like it was shown in the advertising."
93,93,1245_aID1AD.txt,for children aged from two to five it is necessary to interact with their parents because parents have the most influence of their life.
94,94,1245_aID1AD.txt,otherwise they don't learn anything about communication and often the advertising doesn't reach the young children.
95,95,1245_aID1AD.txt,"advertising was created to earn a lot of money, that people watching the tv will buy what was shown in the advertising."
96,96,1245_aID1AD.txt,in some way advertising can have a big impact on somebodys life and this isn't positive.
97,97,1245_aID1AD.txt,"in my oppionion i think television advertisng directed toward young children should not be allowed, because as i said above, they are too young."
98,98,1245_aID1AD.txt,in their first years they have to learn how to behave by their parents.
99,99,1245_aID1AD.txt,televison advertising can have a lot of negative things because most people don't think about it and they do what was said in the advertising.
100,100,1251_aID1AD.txt,"an argument for the television advertising directed toward children (aged two to five) is they can learn something about the products they are , in some cases, interested to buy or let buy."
101,101,1251_aID1AD.txt,"consequently they could choose a game of many others that seems to be the coolest or funiest, if they compare the different advertisments."
102,102,1251_aID1AD.txt,"thats why kids would be more often settisfying because the parents could buy things the children are want to, if they agree with their selection."
103,103,1251_aID1AD.txt,there are more and stronger arguments against advertisments for young children.
104,104,1251_aID1AD.txt,"one of this is that boys and girls in this age should not be confronted with so much media which would be more if they also must look for a lot of advertisments, if they want to have a new doll or something else."
105,105,1251_aID1AD.txt,the most important argument is that kids are not able to handle with advertisments because they don not understand something about trading.
106,106,1251_aID1AD.txt,"the reason for this is that kids aged two to five have not the ability to quote about the advertisment and exspecially about the products, because the seller has a big influence to the feelings, with this always positive advertisments about the products."
107,107,1251_aID1AD.txt,thats why children want things which are for example not even worth to buy.
108,108,1251_aID1AD.txt,"to summ up this theme, i am against televesion advertising direct toward young children, because there are much stronger aspects against it."
109,109,1251_aID1AD.txt,parents should decide what is worth to buy for their kids.
110,110,1252_aID1AD.txt,television advertising for so young children has good and bad sites.
111,111,1252_aID1AD.txt,it's important which progam they are watching and what kind of influense this program has.
112,112,1252_aID1AD.txt,it is good when the children watch a television program that prepares them for the school but television that has an bad influense and dont prepare them is not good for them when they watch it too often.
113,113,1252_aID1AD.txt,"the parents have to controle the children and what they are watching, so that they can protect them towards those programms with such a bad influense."
114,114,1252_aID1AD.txt,but it doesn't make sense when the parents of these young children don't care about what their children are watching and the producers of these television programs often don't care too cause they only want money.
115,115,1252_aID1AD.txt,it's not important wether the children sometimes watch those series or movies which don't teach them so much like series who prepare them for the elementary school or the complete school in one thing but they shouldn't watch the too often.
116,116,1252_aID1AD.txt,i don't agree with this statement because i think that children should have fun and a good childhood.
117,117,1252_aID1AD.txt,television is included in our modern social life and we should allow them to grow up with these things.
118,118,1252_aID1AD.txt,"some children are very good in elementary school because they watched such teaching children-series like ""dora"" or ""toggolino"" and some are not so good and too hyperactive because they always watched series like ""spongebob schwammkopf"" and only that so that only this fictional cartoon character was they"
